,sbj_id,id_learning_sen,target_order,complexity,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
6719,44,2lf6,4,lf,zudulespa,4,1958,,843
6720,44,8lf7,4,lf,"vicraziaba,",18,3517,,375
6721,44,12sf5,2,sf,"pubbanista,",3,704,321.0,321
6722,44,4hf3,2,hf,ceburenso,10,2311,209.0,209
6723,44,4hf7,3,hf,"ceburenso,",9,2127,,610
6724,44,7hf1,3,hf,"clivunento,",13,3409,,2030
6725,44,2lf4,5,lf,zudulespa,3,803,,803
6726,44,3sf4,4,sf,mudegenza,6,2397,259.0,259
6727,44,7hf6,4,hf,clivunento,12,2548,,376
6728,44,7hf10,5,hf,clivunento,7,1580,245.0,245
6729,44,6sf9,6,sf,"tobufizia,",9,2966,307.0,307
6730,44,10hf7,5,hf,cribotallo,7,1662,,986
6731,44,3sf7,5,sf,mudegenza,4,616,,263
6732,44,4hf1,4,hf,ceburenso,10,3201,176.0,176
6733,44,1hf7,4,hf,rugobondo,11,2826,,909
6734,44,17lf9,3,lf,vugipepre,10,2353,208.0,208
6735,44,14lf8,3,lf,slobadinna,5,1028,,1028
6736,44,13hf4,6,hf,dorguvosto,5,927,,766
6737,44,16hf6,6,hf,cevecogno,9,2263,,281
6738,44,15sf1,4,sf,cridolario,10,2007,,1429
6739,44,8lf9,5,lf,vicraziaba,8,1963,,1008
6740,44,17lf2,4,lf,vugipepre,3,992,,992
6741,44,3sf2,6,sf,mudegenza,5,1612,,390
6742,44,18sf8,4,sf,pobedismo,7,1700,,726
6743,44,10hf9,6,hf,cribotallo:,6,1313,,486
